Date,Global_Mean,North_H_Mean,South_H_Mean,Tropics_Mean
2012-10,100.395783556,126.172311986,74.6192551269,121.789296383
2012-11,105.129587131,115.560461332,94.6987129302,126.807815585
2012-12,109.577042547,110.742365906,108.411719189,134.957386528
2013-01,nan,nan,nan,nan
2013-02,99.7428713257,84.0399745041,115.445768147,123.618580386
2013-03,98.7657475772,74.1016277431,123.429867411,119.411208427
2013-04,99.3504452673,87.8122632349,110.8886273,119.390886806
2013-05,102.648203526,108.304831992,96.9915750598,125.609388134
2013-06,107.455091484,120.380626476,94.5295564929,129.229789894
2013-07,107.949452225,128.630192639,87.2687118107,134.539453597
2013-08,106.000551158,137.118116924,74.8829853918,129.636039805
2013-09,103.267290417,137.369060439,69.1655203956,128.113347394
2013-10,100.800157525,124.926293775,76.6740212748,128.41165459
2013-11,107.162201251,119.772701788,94.5517007143,131.399563095
2013-12,103.437054024,102.918935505,103.955172544,132.665956633
2014-01,102.049203164,87.7876620499,116.310744277,129.603617097
2014-02,101.518281175,80.2321135883,122.804448761,123.218038133
2014-03,99.7128038797,75.9938105421,123.431797217,120.125012948
2014-04,97.8606585893,83.3566987619,112.364618417,117.243277389
2014-05,99.9539649269,102.062524038,97.8454058159,120.491874795
2014-06,107.180954529,123.897806056,90.464103002,128.306946562
2014-07,104.904103363,132.351745753,77.4564609733,129.426944028
2014-08,105.991101201,139.153072291,72.8291301113,128.859461107
2014-09,104.130806468,141.121860659,67.1397522781,125.468666124
2014-10,98.2228716916,125.191267864,71.2544755196,122.295241085
2014-11,102.224211827,117.668344656,86.7800789983,127.857210188
2014-12,103.044446515,109.082719425,97.0061736046,130.069679064
2015-01,101.728546463,86.4174904867,117.03960244,122.979963674
2015-02,97.9768419881,83.8222539309,112.131430045,118.719052591
2015-03,96.9810911232,73.0031029966,120.95907925,117.772966567
2015-04,94.4531215837,81.2329285674,107.6733146,113.472768659
2015-05,95.6555025456,101.15537898,90.1556261116,119.372836895
2015-06,111.095034791,127.449455162,94.7406144198,133.610474398
2015-07,105.972621422,131.467547771,80.4776950732,129.381598115
2015-08,108.031803385,138.838643398,77.2249633713,130.635773824
2015-09,101.71360784,141.689637181,61.7375784994,123.745996812
2015-10,100.084758072,131.640925289,68.5285908545,121.79915022
2015-11,103.608620538,115.310038566,91.9072025092,129.495965209
2015-12,104.391638526,106.586079398,102.197197654,129.496285317
2016-01,100.624299762,82.506325859,118.742273665,115.983270093
2016-02,96.9860620098,67.8560004642,126.116123556,119.226205105
2016-03,94.6751168537,68.6377869457,120.712446762,113.382941327
2016-04,96.7088328201,76.6136297782,116.804035862,117.486796313
2016-05,98.0650367918,106.056123957,90.0739496267,121.287113575
2016-06,105.486294003,116.956342324,94.0162456829,130.829689983
2016-07,105.642922511,126.157416269,85.1284287527,129.806037654
2016-08,106.53177091,136.704345538,76.3591962811,132.027332693
